id,number,price
1,100,200
2,101,201
3,102,202
4,103,203
5,104,204
6,105,205
7,106,206
8,107,207
9,108,208
10,109,209
11,110,210
12,111,211
13,112,212
14,113,213
15,114,214
16,115,215
17,116,216
18,117,217
19,118,218
20,119,219
21,120,220
22,121,221
23,122,222
24,123,223
25,124,224
26,125,225
27,126,226
28,127,227
29,128,228
30,129,229
31,130,230
32,131,231
33,132,232
34,133,233
35,134,234
36,135,235
37,136,236
38,137,237
39,138,238
40,139,239
41,140,240
42,141,241
43,142,242
44,143,243
45,144,244
46,145,245
47,146,246
48,147,247
49,148,248
50,149,249
51,150,250
52,151,251
53,152,252
54,153,253
55,154,254
56,155,255
57,156,256
58,157,257
59,158,258
60,159,259
61,160,260
62,161,261
63,162,262
64,163,263
65,164,264
66,165,265
67,166,266
68,167,267
69,168,268
70,169,269
71,170,270
72,171,271
73,172,272
74,173,273
75,174,274
76,175,275
77,176,276
78,177,277
79,178,278
80,179,279
81,180,280
82,181,281
83,182,282
84,183,283
85,184,284
86,185,285
87,186,286
88,187,287
89,188,288
90,189,289
91,190,290
92,191,291
93,192,292
94,193,293
95,194,294
96,195,295
97,196,296
98,197,297
99,198,298
